open_price,high_price,low_price,close_price,volume
487.8999939,492.1000061,481.5,486.7999878,0
487,489,485.7000122,486.1000061,823723
485.8988953,488.2999878,485.6000061,486.2000122,303381
486.2999878,487.8999939,486.2999878,487.6000061,223898
487.6000061,489.7000122,487.3999939,489.3999939,5745716
489.3999939,491.3559875,488.6000061,490,323494
490.2000122,490.2000122,487.1000061,487.2999878,729256
487.2999878,488.2999878,482.2999878,483.3999939,801216
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
483.2999878,487,481.7999878,482.1000061,635021
484.7999878,485.8999939,481.2999878,483.1000061,0
482.905304,483.5,480.2000122,482.6000061,437571
482.8991089,483.269989,481.2000122,482.5,190629
482.3999939,483.6987915,481.5,483.1000061,183496
483.2999878,484.7999878,483.2000122,484.3999939,193848
484.2000122,484.2999878,481.7999878,482.2999878,201661
482.2000122,484.7999878,482.2000122,484.6000061,3221872
484.6000061,484.7000122,481.9949036,482.8999939,217918
482.9808044,483.7999878,482.7000122,483.7000122,262784
482.9808044,483.7999878,482.7000122,483.7000122,262784
482.9808044,483.7999878,482.7000122,483.7000122,262784
482.9808044,483.7999878,482.7000122,483.7000122,262784
482.9808044,483.7999878,482.7000122,483.7000122,262784
482.9808044,483.7999878,482.7000122,483.7000122,262784
482.9808044,483.7999878,482.7000122,483.7000122,262784
482.9808044,483.7999878,482.7000122,483.7000122,262784
482.9808044,483.7999878,482.7000122,483.7000122,262784
482.9808044,483.7999878,482.7000122,483.7000122,262784
482.9808044,483.7999878,482.7000122,483.7000122,262784
482.9808044,483.7999878,482.7000122,483.7000122,262784
482.9808044,483.7999878,482.7000122,483.7000122,262784
482.9808044,483.7999878,482.7000122,483.7000122,262784
482.9808044,483.7999878,482.7000122,483.7000122,262784
482.9808044,483.7999878,482.7000122,483.7000122,262784
482.2999878,482.6000061,478.0100098,479.7999878,0
479.7000122,483.2210083,478.6000061,479.5549927,469127
479.7000122,479.8992004,477.1000061,477.8999939,408866
477.7999878,479.7999878,477.6000061,479.6000061,166478
479.8099976,480,478.5,478.7000122,87736
478.7730103,479.8999939,477.1749878,477.4259949,114408
477.4299927,478.7999878,474.5,475.730011,442989
475.6000061,475.8999939,473.5,474.730011,308129
474.8299866,475.7999878,474,474.9360046,263234
474.8299866,475.7999878,474,474.9360046,263234
474.8299866,475.7999878,474,474.9360046,263234
474.8299866,475.7999878,474,474.9360046,263234
474.8299866,475.7999878,474,474.9360046,263234
474.8299866,475.7999878,474,474.9360046,263234
474.8299866,475.7999878,474,474.9360046,263234
474.8299866,475.7999878,474,474.9360046,263234
474.8299866,475.7999878,474,474.9360046,263234
474.8299866,475.7999878,474,474.9360046,263234
474.8299866,475.7999878,474,474.9360046,263234
474.8299866,475.7999878,474,474.9360046,263234
474.8299866,475.7999878,474,474.9360046,263234
474.8299866,475.7999878,474,474.9360046,263234
474.8299866,475.7999878,474,474.9360046,263234
474.8299866,475.7999878,474,474.9360046,263234
473.7000122,476.5,473.1000061,476.3999939,0
476.5,477.7999878,475.5,477.2000122,177202
477.6000061,478.3999939,476.8999939,477.2000122,150568
477.2737122,477.8999939,476.2999878,476.8999939,105194
476.8649902,477.1000061,475.9396057,476,262698
476.2000122,478.3999939,476.1000061,478.0700073,138792
478,478.1000061,474.2999878,474.5,137943
474.3999939,475.1000061,473.7000122,474.3999939,224463
474.6000061,475.7000122,473.8999939,475.2000122,132375
474.6000061,475.7000122,473.8999939,475.2000122,132375
474.6000061,475.7000122,473.8999939,475.2000122,132375
474.6000061,475.7000122,473.8999939,475.2000122,132375
474.6000061,475.7000122,473.8999939,475.2000122,132375
474.6000061,475.7000122,473.8999939,475.2000122,132375
474.6000061,475.7000122,473.8999939,475.2000122,132375
474.6000061,475.7000122,473.8999939,475.2000122,132375
474.6000061,475.7000122,473.8999939,475.2000122,132375
474.6000061,475.7000122,473.8999939,475.2000122,132375
474.6000061,475.7000122,473.8999939,475.2000122,132375
474.6000061,475.7000122,473.8999939,475.2000122,132375
474.6000061,475.7000122,473.8999939,475.2000122,132375
474.6000061,475.7000122,473.8999939,475.2000122,132375
474.6000061,475.7000122,473.8999939,475.2000122,132375
474.6000061,475.7000122,473.8999939,475.2000122,132375
474.6000061,475.7000122,473.8999939,475.2000122,132375
473.8999939,476,473,473.0714111,0
473.2000122,473.6300049,472.6000061,472.7999878,160494
473,473.2999878,472.2000122,472.8999939,288300
472.7999878,474.1000061,472.5079956,473.1300049,303759
473.2000122,473.5,472.3999939,473.196991,174062
473.2999878,474.5,473,474,148468
473.8999939,474.8999939,472.8999939,474,352192
474,474.1000061,471.6000061,472.2000122,254247
472.2000122,473.3999939,471.7000122,471.8999939,355055
472.2000122,473.3999939,471.7000122,471.8999939,355055
472.2000122,473.3999939,471.7000122,471.8999939,355055
472.2000122,473.3999939,471.7000122,471.8999939,355055
472.2000122,473.3999939,471.7000122,471.8999939,355055
472.2000122,473.3999939,471.7000122,471.8999939,355055
472.2000122,473.3999939,471.7000122,471.8999939,355055
472.2000122,473.3999939,471.7000122,471.8999939,355055
472.2000122,473.3999939,471.7000122,471.8999939,355055
472.2000122,473.3999939,471.7000122,471.8999939,355055
472.2000122,473.3999939,471.7000122,471.8999939,355055
472.2000122,473.3999939,471.7000122,471.8999939,355055
472.2000122,473.3999939,471.7000122,471.8999939,355055
472.2000122,473.3999939,471.7000122,471.8999939,355055
472.2000122,473.3999939,471.7000122,471.8999939,355055
472.2000122,473.3999939,471.7000122,471.8999939,355055
